05122023
Symbol,Month type,Symbol Type,Step Value,No. of Strikes Provided (ITM),No. of Strikes Provided (ATM),No. of Strikes Provided (OTM),Total Strikes including reserve (ITM),Total Strikes including reserve (ATM),Total Strikes including reserve (OTM)
AARTIIND,M1,EQUITY,5,16,1,16,42,1,42
AARTIIND,M2,EQUITY,5,16,1,16,42,1,42
AARTIIND,M3,EQUITY,5,16,1,16,42,1,42
ABB,M1,EQUITY,50,14,1,14,36,1,36
ABB,M2,EQUITY,50,14,1,14,36,1,36
ABB,M3,EQUITY,50,14,1,14,36,1,36
ABBOTINDIA,M1,EQUITY,250,14,1,14,38,1,38
ABBOTINDIA,M2,EQUITY,250,14,1,14,38,1,38
ABBOTINDIA,M3,EQUITY,250,14,1,14,38,1,38
ABCAPITAL,M1,EQUITY,2.5,12,1,12,30,1,30
ABCAPITAL,M2,EQUITY,2.5,12,1,12,30,1,30
ABCAPITAL,M3,EQUITY,2.5,12,1,12,30,1,30
ABFRL,M1,EQUITY,2.5,14,1,14,36,1,36
ABFRL,M2,EQUITY,2.5,14,1,14,36,1,36
ABFRL,M3,EQUITY,2.5,14,1,14,36,1,36
ACC,M1,EQUITY,20,16,1,16,41,1,41
ACC,M2,EQUITY,20,16,1,16,41,1,41
ACC,M3,EQUITY,20,16,1,16,41,1,41
ADANIENT,M1,EQUITY,50,8,1,8,21,1,21
ADANIENT,M2,EQUITY,50,8,1,8,21,1,21
ADANIENT,M3,EQUITY,50,8,1,8,21,1,21
ADANIPORTS,M1,EQUITY,10,13,1,13,34,1,34
ADANIPORTS,M2,EQUITY,10,13,1,13,34,1,34
ADANIPORTS,M3,EQUITY,10,13,1,13,34,1,34
ALKEM,M1,EQUITY,50,12,1,12,30,1,30
ALKEM,M2,EQUITY,50,12,1,12,30,1,30
ALKEM,M3,EQUITY,50,12,1,12,30,1,30
AMBUJACEM,M1,EQUITY,5,14,1,14,36,1,36
AMBUJACEM,M2,EQUITY,5,14,1,14,36,1,36
AMBUJACEM,M3,EQUITY,5,14,1,14,36,1,36
APOLLOHOSP,M1,EQUITY,50,16,1,16,41,1,41
APOLLOHOSP,M2,EQUITY,50,16,1,16,41,1,41
APOLLOHOSP,M3,EQUITY,50,16,1,16,41,1,41
APOLLOTYRE,M1,EQUITY,5,12,1,12,30,1,30
APOLLOTYRE,M2,EQUITY,5,12,1,12,30,1,30
APOLLOTYRE,M3,EQUITY,5,12,1,12,30,1,30
ASHOKLEY,M1,EQUITY,1,20,1,20,74,1,74
ASHOKLEY,M2,EQUITY,1,20,1,20,74,1,74
ASHOKLEY,M3,EQUITY,1,20,1,20,74,1,74
ASIANPAINT,M1,EQUITY,20,20,1,20,64,1,64
ASIANPAINT,M2,EQUITY,20,20,1,20,64,1,64
ASIANPAINT,M3,EQUITY,20,20,1,20,64,1,64
ASTRAL,M1,EQUITY,20,15,1,15,39,1,39
ASTRAL,M2,EQUITY,20,15,1,15,39,1,39
ASTRAL,M3,EQUITY,20,15,1,15,39,1,39
ATUL,M1,EQUITY,50,20,1,20,59,1,59
ATUL,M2,EQUITY,50,20,1,20,59,1,59
ATUL,M3,EQUITY,50,20,1,20,59,1,59
AUBANK,M1,EQUITY,10,11,1,11,30,1,30
AUBANK,M2,EQUITY,10,11,1,11,30,1,30
AUBANK,M3,EQUITY,10,11,1,11,30,1,30
AUROPHARMA,M1,EQUITY,10,14,1,14,36,1,36
AUROPHARMA,M2,EQUITY,10,14,1,14,36,1,36
AUROPHARMA,M3,EQUITY,10,14,1,14,36,1,36
AXISBANK,M1,EQUITY,10,16,1,16,42,1,42
AXISBANK,M2,EQUITY,10,16,1,16,42,1,42
AXISBANK,M3,EQUITY,10,16,1,16,42,1,42
BAJAJ-AUTO,M1,EQUITY,50,16,1,16,42,1,42
BAJAJ-AUTO,M2,EQUITY,50,16,1,16,42,1,42
BAJAJ-AUTO,M3,EQUITY,50,16,1,16,42,1,42
BAJAJFINSV,M1,EQUITY,10,20,1,20,62,1,62
BAJAJFINSV,M2,EQUITY,10,20,1,20,62,1,62
BAJAJFINSV,M3,EQUITY,10,20,1,20,62,1,62
BAJFINANCE,M1,EQUITY,50,20,1,20,60,1,60
