"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 -"
"BALKRISIND","2,650.50","2,795.50","2,619.50","2,641.95","2,762.00","120.05","4.54","6,12,089","167.31","2,795.50","1,908.90","8.47","19.18"
"MRF","1,40,800.00","1,46,496.15","1,40,222.00","1,39,431.95","1,45,750.80","6,318.85","4.53","15,816","227.62","1,50,254.15","81,380.05","18.85","54.10"
"APOLLOTYRE","502.00","545.65","499.55","503.45","525.90","22.45","4.46","60,24,216","316.73","545.65","303.35","16.73","58.17"
"IRCTC","997.85","1,049.00","994.00","983.80","1,025.00","41.20","4.19","2,07,24,020","2,132.69","1,049.00","557.10","20.69","53.65"
"COALINDIA","386.50","401.50","384.45","383.25","399.00","15.75","4.11","2,61,21,433","1,037.70","401.50","207.60","8.83","71.13"
"ADANIPORTS","1,158.90","1,198.75","1,150.00","1,152.45","1,190.90","38.45","3.34","25,21,107","296.88","1,229.90","395.10","13.86","48.50"
"SHREECEM","26,799.00","28,000.00","26,558.65","26,649.50","27,431.80","782.30","2.94","36,549","100.02","29,250.00","21,410.00","-5.68","9.27"
"PNB","103.55","105.70","102.60","102.20","105.10","2.90","2.84","5,19,01,229","540.50","105.70","44.40","17.67","78.67"
"AUBANK","737.80","755.40","735.00","730.55","750.00","19.45","2.66","19,30,061","144.08","813.40","548.00","-3.88","17.59"
"KOTAKBANK","1,774.45","1,829.45","1,758.10","1,764.30","1,810.00","45.70","2.59","54,56,020","981.83","2,064.40","1,643.50","-3.41","-0.17"
"ADANIENT","2,930.00","3,015.85","2,890.50","2,915.65","2,987.85","72.20","2.48","18,78,793","552.27","3,537.70","1,017.45","4.73","-15.82"
"IDFCFIRSTB","85.95","87.90","85.30","85.70","87.80","2.10","2.45","2,79,00,269","241.42","100.70","52.10","-1.89","44.28"
"CANBK","468.75","482.20","464.35","466.65","478.10","11.45","2.45","51,87,720","245.56","482.20","268.80","9.56","45.76"
