code,lotsize,contract_step,qty_freeze,Sector,Industry,MktCategory,Mcap,IntraSectorRank,NiftyRank,Underlying,symbol_TV,symbol_TV_1
MIDCPNIFTY,75,100,4200,,,,,,,NIFTY MID SELECT,MIDCPNIFTY,NSE:MIDCPNIFTY!1
FINNIFTY,40,100,1800,,,,,,,NIFTY FINANCIAL SERVICES,FINNIFTY,NSE:FINNIFTY!1
BANKNIFTY,15,100,900,,,,,,,NIFTY BANK,BANKNIFTY,NSE:BANKNIFTY!1
NIFTY,50,100,1800,,,,,,,NIFTY 50,NIFTY,NSE:NIFTY!1
AARTIIND,1000,5,40000,Process Industries,Chemicals: Major Diversified,,,,,AARTI INDUSTRIES LTD                ,AARTIIND,NSE:AARTIIND!1
ABB,125,50,5000,Producer Manufacturing,Electrical Products,,,,,ABB INDIA LIMITED                   ,ABB,NSE:ABB!1
ABBOTINDIA,40,250,1200,Health Technology,Pharmaceuticals: Major,,,,,ABBOTT INDIA LIMITED                ,ABBOTINDIA,NSE:ABBOTINDIA!1
ABCAPITAL,5400,2.5,162000,Finance,Multi-Line Insurance,,,,,ADITYA BIRLA CAPITAL LTD.           ,ABCAPITAL,NSE:ABCAPITAL!1
ABFRL,2600,2.5,104000,Retail Trade,Apparel/Footwear Retail,,,,,ADITYA BIRLA FASHION & RT           ,ABFRL,NSE:ABFRL!1
ACC,300,20,12000,Non-Energy Minerals,Construction Materials,,,,,ACC LIMITED                         ,ACC,NSE:ACC!1
ADANIENT,300,50,9000,Distribution Services,Wholesale Distributors,,,,,ADANI ENTERPRISES LIMITED           ,ADANIENT,NSE:ADANIENT!1
ADANIPORTS,800,10,24000,Transportation,Other Transportation,,,,,ADANI PORT & SEZ LTD                ,ADANIPORTS,NSE:ADANIPORTS!1
ALKEM,200,50,6000,Health Technology,Pharmaceuticals: Major,,,,,ALKEM LABORATORIES LTD.             ,ALKEM,NSE:ALKEM!1
APOLLOHOSP,125,50,5000,Health Services,Hospital/Nursing Management,,,,,APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,NSE:APOLLOHOSP!1
APOLLOTYRE,1700,5,51000,Consumer Durables,Automotive Aftermarket,,,,,APOLLO TYRES LTD                    ,APOLLOTYRE,NSE:APOLLOTYRE!1
ASTRAL,367,20,11010,Producer Manufacturing,Miscellaneous Manufacturing,,,,,ASTRAL LIMITED                      ,ASTRAL,NSE:ASTRAL!1
AXISBANK,625,10,25000,Finance,Regional Banks,,,,,AXIS BANK LIMITED                   ,AXISBANK,NSE:AXISBANK!1
BAJAJ-AUTO,125,50,3750,Consumer Durables,Motor Vehicles,,,,,BAJAJ AUTO LIMITED                  ,BAJAJ_AUTO,NSE:BAJAJ_AUTO!1
BAJFINANCE,125,50,3750,Finance,Finance/Rental/Leasing,,,,,BAJAJ FINANCE LIMITED               ,BAJFINANCE,NSE:BAJFINANCE!1
BALKRISIND,300,20,9000,Consumer Durables,Automotive Aftermarket,,,,,BALKRISHNA IND. LTD                 ,BALKRISIND,NSE:BALKRISIND!1
BALRAMCHIN,1600,5,48000,Process Industries,Agricultural Commodities/Milling,,,,,BALRAMPUR CHINI MILLS LTD           ,BALRAMCHIN,NSE:BALRAMCHIN!1
BANDHANBNK,2500,2.5,100000,Finance,Major Banks,,,,,BANDHAN BANK LIMITED                ,BANDHANBNK,NSE:BANDHANBNK!1
BANKBARODA,2925,2.5,117000,Finance,Major Banks,,,,,BANK OF BARODA                      ,BANKBARODA,NSE:BANKBARODA!1
BEL,5700,2.5,171000,Electronic Technology,Aerospace & Defense,,,,,BHARAT ELECTRONICS LTD              ,BEL,NSE:BEL!1
BHARATFORG,500,10,20000,Producer Manufacturing,Metal Fabrication,,,,,BHARAT FORGE LTD                    ,BHARATFORG,NSE:BHARATFORG!1
BOSCHLTD,50,100,1500,Producer Manufacturing,Auto Parts: OEM,,,,,BOSCH LIMITED                       ,BOSCHLTD,NSE:BOSCHLTD!1
BSOFT,1000,10,40000,Technology Services,Packaged Software,,,,,BIRLASOFT LIMITED                   ,BSOFT,NSE:BSOFT!1
CANBK,2700,5,54000,Finance,Regional Banks,,,,,CANARA BANK                         ,CANBK,NSE:CANBK!1
CANFINHOME,975,10,29250,Finance,Finance/Rental/Leasing,,,,,CAN FIN HOMES LTD                   ,CANFINHOME,NSE:CANFINHOME!1
CHAMBLFERT,1900,5,76000,Process Industries,Chemicals: Specialty,,,,,CHAMBAL FERTILIZERS LTD             ,CHAMBLFERT,NSE:CHAMBLFERT!1
CHOLAFIN,625,20,18750,Finance,Finance/Rental/Leasing,,,,,CHOLAMANDALAM IN & FIN CO           ,CHOLAFIN,NSE:CHOLAFIN!1
