"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"PETRONET","243.65","249.10","5.45","2.24","249.10","71,643","1.78","-","-","-"
"IRCTC","983.80","997.85","14.05","1.43","997.85","56,279","5.62","-","-","-"
"RECLTD","451.60","458.00","6.40","1.42","458.00","76,350","3.50","-","-","-"
"PVRINOX","1,502.50","1,523.50","21.00","1.40","1,523.50","3,160","0.48","-","-","-"
"PNB","102.20","103.55","1.35","1.32","103.55","2,64,439","2.74","-","-","-"
"IEX","140.05","141.85","1.80","1.29","141.85","31,290","0.44","-","-","-"
"SHRIRAMFIN","2,301.85","2,330.00","28.15","1.22","2,330.00","1,088","0.25","-","-","-"
"GAIL","168.30","170.25","1.95","1.16","170.25","1,66,203","2.83","-","-","-"
"DALBHARAT","2,214.40","2,240.00","25.60","1.16","2,240.00","470","0.11","-","-","-"
"JKCEMENT","4,053.25","4,100.00","46.75","1.15","4,100.00","121","0.05","-","-","-"
"ASHOKLEY","172.35","174.30","1.95","1.13","174.30","34,964","0.61","-","-","-"
"POWERGRID","235.40","238.00","2.60","1.10","238.00","13,032","0.31","-","-","-"
"TECHM","1,389.90","1,405.00","15.10","1.09","1,405.00","10,526","1.48","-","-","-"
"CONCOR","858.70","868.00","9.30","1.08","868.00","1,652","0.14","-","-","-"
"INDUSTOWER","220.35","222.70","2.35","1.07","222.70","17,424","0.39","-","-","-"
"MUTHOOTFIN","1,431.10","1,446.30","15.20","1.06","1,446.30","1,521","0.22","-","-","-"
"OFSS","6,877.10","6,949.95","72.85","1.06","6,949.95","2,654","1.84","-","-","-"
"LTTS","5,387.05","5,444.00","56.95","1.06","5,444.00","557","0.30","-","-","-"
"ULTRACEMCO","10,093.70","10,200.00","106.30","1.05","10,200.00","3,047","3.11","-","-","-"
"BATAINDIA","1,515.80","1,531.40","15.60","1.03","1,531.40","365","0.06","-","-","-"
"NAUKRI","5,097.95","5,150.00","52.05","1.02","5,150.00","96","0.05","-","-","-"
"BHEL","222.25","224.50","2.25","1.01","224.50","1,78,428","4.01","-","-","-"
"AUBANK","730.55","737.80","7.25","0.99","737.80","2,428","0.18","-","-","-"
"FEDERALBNK","146.55","148.00","1.45","0.99","148.00","10,594","0.16","-","-","-"
"LTIM","5,652.15","5,708.00","55.85","0.99","5,708.00","1,126","0.64","-","-","-"
"IDFC","122.30","123.50","1.20","0.98","123.50","12,614","0.16","-","-","-"
"MRF","1,39,431.95","1,40,800.00","1,368.05","0.98","1,40,800.00","34","0.48","-","-","-"
"COFORGE","6,415.35","6,474.95","59.60","0.93","6,474.95","98","0.06","-","-","-"
"HINDPETRO","465.75","470.00","4.25","0.91","470.00","11,964","0.56","-","-","-"
"NMDC","210.85","212.65","1.80","0.85","212.65","41,598","0.88","-","-","-"
"HDFCBANK","1,470.65","1,483.20","12.55","0.85","1,483.20","79,011","11.72","-","-","-"
"ZEEL","235.00","237.00","2.00","0.85","237.00","1,10,157","2.61","-","-","-"
"NAVINFLUOR","3,411.00","3,440.00","29.00","0.85","3,440.00","109","0.04","-","-","-"
"COALINDIA","383.25","386.50","3.25","0.85","386.50","16,496","0.64","-","-","-"
"BSOFT","799.15","805.90","6.75","0.84","805.90","2,896","0.23","-","-","-"
"IOC","148.65","149.90","1.25","0.84","149.90","1,31,181","1.97","-","-","-"
"AARTIIND","678.90","684.60","5.70","0.84","684.60","22,965","1.57","-","-","-"
"BANDHANBNK","226.20","228.05","1.85","0.82","228.05","29,974","0.68","-","-","-"
"PERSISTENT","7,865.75","7,930.00","64.25","0.82","7,930.00","1,325","1.05","-","-","-"
"SAIL","114.10","115.00","0.90","0.79","115.00","50,473","0.58","-","-","-"
"JINDALSTEL","729.25","735.00","5.75","0.79","735.00","2,873","0.21","-","-","-"
"INDIAMART","2,633.50","2,654.00","20.50","0.78","2,654.00","342","0.09","-","-","-"
"HCLTECH","1,567.95","1,580.00","12.05","0.77","1,580.00","2,323","0.37","-","-","-"
"ICICIPRULI","494.60","498.40","3.80","0.77","498.40","2,586","0.13","-","-","-"
"VOLTAS","1,051.10","1,058.95","7.85","0.75","1,058.95","259","0.03","-","-","-"
"CUB","143.65","144.70","1.05","0.73","144.70","2,342","0.03","-","-","-"
"MOTHERSON","109.55","110.35","0.80","0.73","110.35","10,262","0.11","-","-","-"
"NATIONALUM","133.65","134.60","0.95","0.71","134.60","45,066","0.61","-","-","-"
"DIVISLAB","3,693.80","3,720.00","26.20","0.71","3,720.00","283","0.11","-","-","-"
"HINDALCO","557.10","561.00","3.90","0.70","561.00","3,814","0.21","-","-","-"
"ICICIBANK","999.20","1,005.95","6.75","0.68","1,005.95","22,422","2.26","-","-","-"
"INDIGO","3,029.55","3,050.00","20.45","0.68","3,050.00","153","0.05","-","-","-"
"ESCORTS","2,979.90","3,000.00","20.10","0.67","3,000.00","387","0.12","-","-","-"
"GRASIM","2,081.20","2,095.00","13.80","0.66","2,095.00","131","0.03","-","-","-"
"HINDCOPPER","264.85","266.60","1.75","0.66","266.60","52,682","1.40","-","-","-"
"JSWSTEEL","816.65","822.00","5.35","0.66","822.00","1,163","0.10","-","-","-"
"GLENMARK","879.15","884.90","5.75","0.65","884.90","484","0.04","-","-","-"
"ZYDUSLIFE","720.55","725.25","4.70","0.65","725.25","795","0.06","-","-","-"
"COLPAL","2,490.40","2,506.55","16.15","0.65","2,506.55","54","0.01","-","-","-"
"PFC","412.35","415.00","2.65","0.64","415.00","81,421","3.38","-","-","-"
"EXIDEIND","327.20","329.30","2.10","0.64","329.30","8,506","0.28","-","-","-"
"UPL","553.40","556.95","3.55","0.64","556.95","1,024","0.06","-","-","-"
"BPCL","480.95","484.00","3.05","0.63","484.00","10,106","0.49","-","-","-"
"POLYCAB","4,422.70","4,450.00","27.30","0.62","4,450.00","1,661","0.74","-","-","-"
"IGL","446.20","448.95","2.75","0.62","448.95","5,171","0.23","-","-","-"
"TITAN","3,810.60","3,833.95","23.35","0.61","3,833.95","564","0.22","-","-","-"
"GMRINFRA","82.50","83.00","0.50","0.61","83.00","32,022","0.27","-","-","-"
"PIIND","3,405.40","3,426.00","20.60","0.60","3,426.00","241","0.08","-","-","-"
"BEL","191.85","193.00","1.15","0.60","193.00","80,166","1.55","-","-","-"
"MFSL","905.70","911.05","5.35","0.59","911.05","107","0.01","-","-","-"
"TRENT","3,210.05","3,229.00","18.95","0.59","3,229.00","499","0.16","-","-","-"
"TATACOMM","1,737.75","1,748.00","10.25","0.59","1,748.00","352","0.06","-","-","-"
"HDFCAMC","3,478.70","3,499.00","20.30","0.58","3,499.00","464","0.16","-","-","-"
"INDHOTEL","482.20","485.00","2.80","0.58","485.00","12,112","0.59","-","-","-"
"CIPLA","1,327.95","1,335.65","7.70","0.58","1,335.65","2,267","0.30","-","-","-"
"SBILIFE","1,440.60","1,448.90","8.30","0.58","1,441.00","297","0.04","-","-","-"
"LT","3,646.00","3,667.00","21.00","0.58","3,667.00","1,960","0.72","-","-","-"
"KOTAKBANK","1,764.30","1,774.45","10.15","0.58","1,774.45","5,364","0.95","-","-","-"
"ABCAPITAL","174.70","175.70","1.00","0.57","175.70","2,071","0.04","-","-","-"
"INDUSINDBK","1,561.10","1,570.00","8.90","0.57","1,570.00","4,748","0.75","-","-","-"
"SIEMENS","4,141.50","4,165.00","23.50","0.57","4,165.00","178","0.07","-","-","-"
"SHREECEM","26,649.50","26,799.00","149.50","0.56","26,799.00","15","0.04","-","-","-"
"ADANIPORTS","1,152.45","1,158.90","6.45","0.56","1,158.90","6,630","0.77","-","-","-"
"RAMCOCEM","957.60","962.95","5.35","0.56","962.95","15","-","-","-","-"
"M&MFIN","282.35","283.90","1.55","0.55","283.90","2,788","0.08","-","-","-"
"TATACONSUM","1,161.70","1,168.00","6.30","0.54","1,168.00","1,680","0.20","-","-","-"
"SUNTV","669.40","673.00","3.60","0.54","673.00","326","0.02","-","-","-"
"L&TFH","168.30","169.20","0.90","0.53","169.20","4,000","0.07","-","-","-"
"DRREDDY","5,668.20","5,698.20","30.00","0.53","5,698.20","210","0.12","-","-","-"
"INDIACEM","253.10","254.40","1.30","0.51","254.40","2,916","0.07","-","-","-"
"ABB","4,820.45","4,845.00","24.55","0.51","4,845.00","279","0.14","-","-","-"
"GODREJCP","1,149.25","1,155.00","5.75","0.50","1,155.00","553","0.06","-","-","-"
"BRITANNIA","5,138.65","5,164.00","25.35","0.49","5,164.00","166","0.09","-","-","-"
"ADANIENT","2,915.65","2,930.00","14.35","0.49","2,930.00","1,815","0.53","-","-","-"
"TVSMOTOR","2,037.00","2,047.00","10.00","0.49","2,047.00","218","0.04","-","-","-"
"NTPC","308.45","309.95","1.50","0.49","309.95","34,260","1.06","-","-","-"
"MCX","3,200.90","3,216.00","15.10","0.47","3,192.80","302","0.10","-","-","-"
"HAVELLS","1,381.95","1,388.45","6.50","0.47","1,388.45","213","0.03","-","-","-"
"BAJAJ-AUTO","7,136.55","7,170.00","33.45","0.47","7,170.00","340","0.24","-","-","-"
"PEL","895.90","900.00","4.10","0.46","900.00","239","0.02","-","-","-"
"BERGEPAINT","579.35","582.00","2.65","0.46","582.00","199","0.01","-","-","-"
"BALRAMCHIN","382.75","384.50","1.75","0.46","384.50","1,413","0.05","-","-","-"
"CANBK","466.65","468.75","2.10","0.45","468.75","5,667","0.27","-","-","-"
"ASIANPAINT","3,165.85","3,179.90","14.05","0.44","3,179.90","377","0.12","-","-","-"
"MPHASIS","2,549.05","2,560.00","10.95","0.43","2,560.00","346","0.09","-","-","-"
"CHAMBLFERT","373.30","374.90","1.60","0.43","374.90","3,808","0.14","-","-","-"
"APOLLOHOSP","6,094.65","6,120.00","25.35","0.42","6,120.00","399","0.24","-","-","-"
