SYMBOL,TradingView_Symbol,Vwap_Regn_Zone,Vwap_Regn_Cross,Vol_Suptd_Zone
BANKNIFTY,NSE:BANKNIFTY1!,,,
FINNIFTY,NSE:FINNIFTY1!,,,
MIDCPNIFTY,NSE:MIDCPNIFTY1!,,,
NIFTY,NSE:NIFTY1!,,,
AARTIIND,NSE:AARTIIND1!,,,
ABB,NSE:ABB1!,,,
ABBOTINDIA,NSE:ABBOTINDIA1!,,,
ABCAPITAL,NSE:ABCAPITAL1!,,,
ABFRL,NSE:ABFRL1!,,,
ACC,NSE:ACC1!,,,
ADANIENT,NSE:ADANIENT1!,,,
ADANIPORTS,NSE:ADANIPORTS1!,,,
ALKEM,NSE:ALKEM1!,,,
AMBUJACEM,NSE:AMBUJACEM1!,,,
APOLLOHOSP,NSE:APOLLOHOSP1!,,,
APOLLOTYRE,NSE:APOLLOTYRE1!,,,
ASHOKLEY,NSE:ASHOKLEY1!,,,
ASIANPAINT,NSE:ASIANPAINT1!,,,
ASTRAL,NSE:ASTRAL1!,,,
ATUL,NSE:ATUL1!,,,
AUBANK,NSE:AUBANK1!,,,
AUROPHARMA,NSE:AUROPHARMA1!,,,
AXISBANK,NSE:AXISBANK1!,,,
BAJAJ-AUTO,NSE:BAJAJ_AUTO1!,,,
BAJAJFINSV,NSE:BAJAJFINSV1!,,,
BAJFINANCE,NSE:BAJFINANCE1!,,,
BALKRISIND,NSE:BALKRISIND1!,,,
BALRAMCHIN,NSE:BALRAMCHIN1!,,,
BANDHANBNK,NSE:BANDHANBNK1!,,,
BANKBARODA,NSE:BANKBARODA1!,,,
BATAINDIA,NSE:BATAINDIA1!,,,
BEL,NSE:BEL1!,,,
BERGEPAINT,NSE:BERGEPAINT1!,,,
BHARATFORG,NSE:BHARATFORG1!,,,
BHARTIARTL,NSE:BHARTIARTL1!,,,
BHEL,NSE:BHEL1!,,,
BIOCON,NSE:BIOCON1!,,,
BOSCHLTD,NSE:BOSCHLTD1!,,,
BPCL,NSE:BPCL1!,,,
BRITANNIA,NSE:BRITANNIA1!,,,
BSOFT,NSE:BSOFT1!,,,
CANBK,NSE:CANBK1!,,,
CANFINHOME,NSE:CANFINHOME1!,,,
CHAMBLFERT,NSE:CHAMBLFERT1!,,,
CHOLAFIN,NSE:CHOLAFIN1!,,,
CIPLA,NSE:CIPLA1!,,,
COALINDIA,NSE:COALINDIA1!,,,
COFORGE,NSE:COFORGE1!,,,
COLPAL,NSE:COLPAL1!,,,
CONCOR,NSE:CONCOR1!,,,
COROMANDEL,NSE:COROMANDEL1!,,,
CROMPTON,NSE:CROMPTON1!,,,
CUB,NSE:CUB1!,,,
CUMMINSIND,NSE:CUMMINSIND1!,,,
DABUR,NSE:DABUR1!,,,
DALBHARAT,NSE:DALBHARAT1!,,,
DEEPAKNTR,NSE:DEEPAKNTR1!,,,
DELTACORP,NSE:DELTACORP1!,,,
DIVISLAB,NSE:DIVISLAB1!,,,
DIXON,NSE:DIXON1!,,,
DLF,NSE:DLF1!,,,
DRREDDY,NSE:DRREDDY1!,,,
EICHERMOT,NSE:EICHERMOT1!,,,
ESCORTS,NSE:ESCORTS1!,,,
EXIDEIND,NSE:EXIDEIND1!,,,
FEDERALBNK,NSE:FEDERALBNK1!,,,
GAIL,NSE:GAIL1!,,,
GLENMARK,NSE:GLENMARK1!,,,
GMRINFRA,NSE:GMRINFRA1!,,,
GNFC,NSE:GNFC1!,,,
GODREJCP,NSE:GODREJCP1!,,,
GODREJPROP,NSE:GODREJPROP1!,,,
GRANULES,NSE:GRANULES1!,,,
GRASIM,NSE:GRASIM1!,,,
GUJGASLTD,NSE:GUJGASLTD1!,,,
HAL,NSE:HAL1!,,,
HAVELLS,NSE:HAVELLS1!,,,
HCLTECH,NSE:HCLTECH1!,,,
HDFCAMC,NSE:HDFCAMC1!,,,
HDFCBANK,NSE:HDFCBANK1!,,,
HDFCLIFE,NSE:HDFCLIFE1!,,,
HEROMOTOCO,NSE:HEROMOTOCO1!,,,
HINDALCO,NSE:HINDALCO1!,,,
HINDCOPPER,NSE:HINDCOPPER1!,,,
HINDPETRO,NSE:HINDPETRO1!,,,
HINDUNILVR,NSE:HINDUNILVR1!,,,
IBULHSGFIN,NSE:IBULHSGFIN1!,,,
ICICIBANK,NSE:ICICIBANK1!,,,
ICICIGI,NSE:ICICIGI1!,,,
ICICIPRULI,NSE:ICICIPRULI1!,,,
IDEA,NSE:IDEA1!,,,
IDFC,NSE:IDFC1!,,,
IDFCFIRSTB,NSE:IDFCFIRSTB1!,,,
IEX,NSE:IEX1!,,,
IGL,NSE:IGL1!,,,
INDHOTEL,NSE:INDHOTEL1!,,,
INDIACEM,NSE:INDIACEM1!,,,
INDIAMART,NSE:INDIAMART1!,,,
INDIGO,NSE:INDIGO1!,,,
INDUSINDBK,NSE:INDUSINDBK1!,,,
INDUSTOWER,NSE:INDUSTOWER1!,,,
INFY,NSE:INFY1!,,,
